AUS;LP_NR;SEITE;TITEL_NR;ART;LPTITEL;TITEL;BAND;DIRIGENT;KOMPONIST;INTERPR1;INTERPR2;INTERPR3;INTERPR4;INTERPR5;INTERPR6;INTERPR7;INTERPR8;INTERPR9;INTERPR10;ANMERKUNG;MUSIKART;JAHR;MIN;NOTE;SEK;WAHL
;  73; 1; 1;LP;20 GOLDEN STARS & HITS         S2;THE LEGEND OF XANADU           S2;DAVE DEE & CO                  S2;;;STÄNDER 2;;;;;;;;;;;OLDIE;0;3;;33;0
;   1; 1; 1;CD;EIS AM STIEL II;SEA CRUISE;FORD , FRANKIE;;;FORD , FRANKIE;;;;;;;;;;;OLDIE/SOUND;1959;2;;39;0
;   1; 1; 2;CD;EIS AM STIEL II;BLUE SUEDE SHOES;PERKINS , CARL;;;PERKINS , CARL;;;;;;;;;;;OLDIE/SOUND.;1956;2;;14;0
;   1; 1; 3;CD;EIS AM STIEL II;SWEET LITTLE SIXTEEN;BERRY , CHUCK;;;BERRY , CHUCK;;;;;;;;;;;OLDIE/SOUND.;1957;2;;55;0
;   1; 1; 4;CD;EIS AM STIEL II;RUNAWAY;SHANNON , DEL;;;SHANNON , DEL;;;;;;;;;;;OLDIE/SOUND.;1961;2;;18;0
;   1; 1; 5;CD;EIS AM STIEL II;LONG TALL SALLY;RICHARD , LITTLE;;;RICHARD , LITTLE;;;;;;;;;;;OLDIE/SOUND.;1956;2;;3;0
;   1; 1; 6;CD;EIS AM STIEL II;THE FOOL;HAZLEWOOD , LEE;;;HAZLEWOOD , LEE;;;;;;;;;;;OLDIE/SOUND.;1980;2;;35;0
;   1; 1; 7;CD;EIS AM STIEL II;SOLDIERBOY;SHIRELLES , THE;;;SHIRELLES , THE;;;;;;;;;;;OLDIE/SOUND.;1962;2;;40;0
;   1; 1; 8;CD;EIS AM STIEL II;WHY;AVALON , FRANKIE;;;AVALON , FRANKIE;;;;;;;;;;;OLDIE/SOUND.;1959;2;;32;0
;   1; 1; 9;CD;EIS AM STIEL II;BYE BYE LOVE;EVERLEY BROTHERS , THE;;;EVERLEY BROTHERS,THE;;;;;;;;;;;OLDIE/SOUND.;1957;2;;20;0
;   1; 1;10;CD;EIS AM STIEL II;SURF CITY;JAN & DEAN;;;JAN & DEAN;;;;;;;;;;;OLDIE/SOUND.;1978;2;;27;0
;   1; 1;11;CD;EIS AM STIEL II;LET'S TWIST AGAIN;CHECKER , CHUBBY;;;CHECKER , CHUBBY;;;;;;;;;;;OLDIE/SOUND.;1961;2;;19;0
;   1; 1;12;CD;EIS AM STIEL II;WOLLY BULLY;SAM THE SHAM & THE PHARAOS;;;SAM THE SHAM;;;;;;;;;;;OLDIE/SOUND.;1975;2;;15;0
;   1; 1;13;CD;EIS AM STIEL II;LA BAMBA;VALENS , RITCHIE;;;VALENS , RITCHIE;;;;;;;;;;;OLDIE/SOUND.;1958;2;;2;0
;   1; 1;14;CD;EIS AM STIEL II;CHARLIE BROWN;COASTERS , THE;;;COASTERS , THE;;;;;;;;;;;OLDIE/SOUND.;1976;2;;14;0
;   1; 1;15;CD;EIS AM STIEL II;BLUEBERRY HILL;DOMINO , FATS;;;DOMINO , FATS;;;;;;;;;;;OLDIE/SOUND.;1965;2;;19;0
;   1; 1;16;CD;EIS AM STIEL II;TELL LAURA I LOVE HER;PETERSON , RAY;;;PETERSON , RAY;;;;;;;;;;;OLDIE/SOUND.;1969;2;;50;0
;   1; 1;17;CD;EIS AM STIEL II;I'M READY;LEE LEWIS , JERRY;;;LEE LEWIS , JERRY;;;;;;;;;;;OLDIE/SOUND.;1977;4;;3;0
;   1; 1;18;CD;EIS AM STIEL II;SAVE THE LAST DANCE FOR ME;DRIFTERS , THE;;;DRIFTERS , THE;;;;;;;;;;;OLDIE/SOUND.;1976;2;;31;0
;   2; 1; 1;CD;THE SINGLES (CARPENTERS);WE'VE ONLY JUST BEGUN;CARPENTERS;;;CARPENTERS;RICHARD & KAREN;;;;;;;;;;FOLK;1970;3;;4;0
;   2; 1; 2;CD;THE SINGLES (CARPENTERS);TOP OF THE WORLD;CARPENTERS;;;CARPENTERS;;;;;;;;;;;FOLK;1972;2;;56;0
;   2; 1; 3;CD;THE SINGLES (CARPENTERS);TICKET TO RIDE;CARPENTERS;;;CARPENTERS;;;;;;;;;;;FOLK;1965;4;;10;0
